工程採購數量計算表,,,,,,,,,,,,,,,,,,,,,,,,
物流中心,,,,,,,,,,,,,,,,,,,,,,,,
輕隔間數量計算表 (全棟合併),,,,,,,,,,,,,,,,,,,,,,,,
樓別名稱,,輕隔間牆,,,,,,門開口、窗開口,,,,,,,輕隔間牆面積,,,,,,,,,
編號,空間名稱,空間周長,輕隔間牆類型,牆長,牆高,面積,小計,名稱,數量,長,高,面積,小計,總計,12cm輕隔間,79mm 內部隔板 (1-hr),135mm 內部隔板 (2-hr),138mm 內部隔板 (1-hr),玻璃隔間1CM,廁所隔牆2.5cm,廁所隔牆3cm,輕隔間 (1hr) 79mm,輕隔間 (1hr) 138mm,輕隔間 (2hr) 135mm
F1000,A區梯廳,,,,,,,,,,,,,,,,,,,,,,,
F1003,無障礙廁所,,,,,,,,,,,,,,,,,,,,,,,
F1004,大會議室/多功能室,,,,,,,,,,,,,,,,,,,,,,,
F1006,A安全梯(無障礙樓梯),,,,,,,,,,,,,,,,,,,,,,,
F1007,儲藏室,,,,,,,,,,,,,,,,,,,,,,,
F1008,服務櫃台/行政辦公室,,,,,,,,,,,,,,,,,,,,,,,
F1009,諮商區,,,,,,,,,,,,,,,,,,,,,,,
F1010,女廁,,廁所隔牆3cm,=1.04,2.17,=E13*F13,=G13,衛生間門60*220,1,0.60,2.20,=J13*K13*L13,=M13,=H13-N13,,,,,,,=O13,,,
F1011,A無障礙電梯,,,,,,,,,,,,,,,,,,,,,,,
F1012,走廊,,,,,,,,,,,,,,,,,,,,,,,
F1013,外廊,,,,,,,,,,,,,,,,,,,,,,,
F1014,健康諮詢室,,,,,,,,,,,,,,,,,,,,,,,
F1016,走廊,,,,,,,,,,,,,,,,,,,,,,,
F1017,走廊,,,,,,,,,,,,,,,,,,,,,,,
F1018,日常活動場所(物理治療區),,,,,,,,,,,,,,,,,,,,,,,
F1019,消毒室,,,,,,,,,,,,,,,,,,,,,,,
F1020,口腔照護室,,,,,,,,,,,,,,,,,,,,,,,
F1021,無障礙浴室,,,,,,,,,,,,,,,,,,,,,,,
F1022,無障礙浴室前室,,,,,,,,,,,,,,,,,,,,,,,
F1023,儲藏室/教具室,,,,,,,,,,,,,,,,,,,,,,,
F1024,情緒舒緩區,,廁所隔牆3cm,=1.20+1.40+1.34+2.27,2.16,=E26*F26,=G26,衛生間門60*220,3,0.60,2.20,=J26*K26*L26,=M26,=H26-N26,,,,,,,=O26,,,
F1025,走廊,,,,,,,,,,,,,,,,,,,,,,,
F1026,鞋櫃/儲物櫃,,,,,,,,,,,,,,,,,,,,,,,
F1027,日照入口/落塵區,,,,,,,,,,,,,,,,,,,,,,,
F1028,日常活動場所(運動復能區),,,,,,,,,,,,,,,,,,,,,,,
F1047,走廊,,,,,,,,,,,,,,,,,,,,,,,
F1048,服務櫃台,,,,,,,,,,,,,,,,,,,,,,,
F1049,無障礙廁所,,,,,,,,,,,,,,,,,,,,,,,
F1050,走廊,,,,,,,,,,,,,,,,,,,,,,,
F1051,行政辦公區,,,,,,,,,,,,,,,,,,,,,,,
F1052,日常活動場所(二單元休憩區),,,,,,,,,,,,,,,,,,,,,,,
F1149,工作站,,,,,,,,,,,,,,,,,,,,,,,
F954,機械室(一),,,,,,,,,,,,,,,,,,,,,,,
F955,機械室(二),,,,,,,,,,,,,,,,,,,,,,,
F956,機械室(三),,,,,,,,,,,,,,,,,,,,,,,
F957,污衣及醫療廢材室,,,,,,,,,,,,,,,,,,,,,,,
F958,污物室,,,,,,,,,,,,,,,,,,,,,,,
F959,電氣室,,,,,,,,,,,,,,,,,,,,,,,
F960,自來水受水池,,,,,,,,,,,,,,,,,,,,,,,
F961,男廁,,廁所隔牆3cm,=1.33+1.07,2.19,=E45*F45,=G45,衛生間門60*220,1,0.60,2.20,=J45*K45*L45,=M45,=H45-N45,,,,,,,=O45,,,
F963,諮商區/會客區,,,,,,,,,,,,,,,,,,,,,,,
F966,日常活動場所(開放式廚房),,,,,,,,,,,,,,,,,,,,,,,
F968,性別友善廁所(男),,廁所隔牆3cm,=2.30,2.06,=E48*F48,=G48,衛生間門60*220,1,0.60,2.20,=J48*K48*L48,=M48,=H48-N48,,,,,,,=O48,,,
F969,性別友善廁所(女),,廁所隔牆3cm,=1.28+4.72+1.28+1.05,2.14,=E49*F49,=G49,衛生間門60*220,5,0.60,2.20,=J49*K49*L49,=M49,=H49-N49,,,,,,,=O49,,,
F977,日常活動場所(共同活動空間),,,,,,,,,,,,,,,,,,,,,,,
F980,冷凍庫房/乾料區,,,,,,,,,,,,,,,,,,,,,,,
F981,廚房,,,,,,,,,,,,,,,,,,,,,,,
F982,配膳區/洗碗區,,,,,,,,,,,,,,,,,,,,,,,
F983,電氣室,,,,,,,,,,,,,,,,,,,,,,,
F984,台電配電室,,,,,,,,,,,,,,,,,,,,,,,
F985,消防機房兼緊急發電機室,,,,,,,,,,,,,,,,,,,,,,,
F986,電信資訊機房,,,,,,,,,,,,,,,,,,,,,,,
F987,教具室,,,,,,,,,,,,,,,,,,,,,,,
F988,無障礙廁所,,,,,,,,,,,,,,,,,,,,,,,
F989,值班室,,,,,,,,,,,,,,,,,,,,,,,
F990,廁所,,,,,,,,,,,,,,,,,,,,,,,
F992,大廳/諮商/會客區,,,,,,,,,,,,,,,,,,,,,,,
F995,大庫房,,,,,,,,,,,,,,,,,,,,,,,
F996,B安全梯(無障礙樓梯),,,,,,,,,,,,,,,,,,,,,,,
F997,儲藏室,,,,,,,,,,,,,,,,,,,,,,,
F998,B區梯廳,,,,,,,,,,,,,,,,,,,,,,,
F999,B無障礙電梯,,,,,,,,,,,,,,,,,,,,,,,
F1053,女浴前室,,,,,,,,,,,,,,,,,,,,,,,
F1054,男浴前室,,,,,,,,,,,,,,,,,,,,,,,
F1055,女浴室,,,,,,,,,,,,,,,,,,,,,,,
F1056,宗教閱覽室,,,,,,,,,,,,,,,,,,,,,,,
F1057,宗教閱覽室,,,,,,,,,,,,,,,,,,,,,,,
F859,教具室,,,,,,,,,,,,,,,,,,,,,,,
F860,醫材儲藏室,,,,,,,,,,,,,,,,,,,,,,,
F861,員工休息室,,,,,,,,,,,,,,,,,,,,,,,
F862,病歷室,,,,,,,,,,,,,,,,,,,,,,,
F863,準備室,,,,,,,,,,,,,,,,,,,,,,,
F864,工作站,,,,,,,,,,,,,,,,,,,,,,,
F865,配膳室,,,,,,,,,,,,,,,,,,,,,,,
F869,洗衣/烘衣房,,,,,,,,,,,,,,,,,,,,,,,
F870,污衣室,,,,,,,,,,,,,,,,,,,,,,,
F871,污物室,,,,,,,,,,,,,,,,,,,,,,,
F872,電氣室,,,,,,,,,,,,,,,,,,,,,,,
F873,儲藏室,,,,,,,,,,,,,,,,,,,,,,,
F874,寢室【1床】,,,,,,,,,,,,,,,,,,,,,,,
F875,寢室【1床】,,,,,,,,,,,,,,,,,,,,,,,
F876,寢室【1床】,,,,,,,,,,,,,,,,,,,,,,,
F877,寢室【1床】,,,,,,,,,,,,,,,,,,,,,,,
F878,寢室【1床】,,,,,,,,,,,,,,,,,,,,,,,
F879,寢室【2床】,,,,,,,,,,,,,,,,,,,,,,,
F880,寢室【2床】,,,,,,,,,,,,,,,,,,,,,,,
F882,浴廁,,,,,,,,,,,,,,,,,,,,,,,
F883,浴廁,,,,,,,,,,,,,,,,,,,,,,,
F884,浴廁,,,,,,,,,,,,,,,,,,,,,,,
F885,浴廁,,,,,,,,,,,,,,,,,,,,,,,
F886,浴廁,,,,,,,,,,,,,,,,,,,,,,,
F887,浴廁,,,,,,,,,,,,,,,,,,,,,,,
F888,浴廁,,,,,,,,,,,,,,,,,,,,,,,
F890,浴廁,,,,,,,,,,,,,,,,,,,,,,,
F891,浴廁,,,,,,,,,,,,,,,,,,,,,,,
F892,浴廁,,,,,,,,,,,,,,,,,,,,,,,
F893,浴廁,,,,,,,,,,,,,,,,,,,,,,,
F894,浴廁,,,,,,,,,,,,,,,,,,,,,,,
F895,浴廁,,,,,,,,,,,,,,,,,,,,,,,
